"person","age","networthb","time","industry"
"Robin Li",46,15.3,2015,"internet search"
"Gennady Timchenko",61,15.3,2014,"oil & gas"
"Mohammed Al Amoudi",67,15.3,2014,"oil, diversified"
"Azim Premji",68,15.3,2014,"software"
"Donald Bren",82,15.2,2015,"real estate"
"Wang Jianlin",59,15.1,2014,"real estate"
"Charles Ergen",61,15,2014,"Dish Network"
"Stefan Quandt",47,14.9,2014,"BMW"
"Francois Pinault",78,14.9,2015,"retail"
"Shiv Nadar",69,14.8,2015,"information technology"
"Aliko Dangote",57,14.7,2015,"cement, sugar, flour"
"German Larrea Mota Velasco & family",60,14.7,2014,"mining"
"Harold Hamm",68,14.6,2014,"oil & gas"
"Mikhail Fridman",50,14.6,2015,"oil, banking, telecom"
"Ronald Perelman",72,14.5,2015,"leveraged buyouts"
"Cheng Yu-tung",89,14.4,2015,"diversified"
"Ray Dalio",64,14.4,2014,"hedge funds"
"Donald Bren",81,14.4,2014,"real estate"
"Alisher Usmanov",61,14.4,2015,"steel & mining, telecom, investments"
"Georg Schaeffler",49,14.3,2014,"ball bearings"
"Luis Carlos Sarmiento",81,14.2,2014,"banking"
"Henry Sy",90,14.2,2015,"diversified"
"Viktor Vekselberg",57,14.2,2015,"metals, energy"
"Masayoshi Son",57,14.1,2015,"internet, telecom"
"Laurene Powell Jobs & family",50,14,2014,"Apple, Disney"
"Serge Dassault & family",88,14,2014,"aviation"
"James Simons",76,14,2015,"hedge funds"
"Ronald Perelman",71,14,2014,"leveraged buyouts"
"Johanna Quandt",88,13.9,2015,"BMW"
"Rupert Murdoch",83,13.9,2015,"media"
"German Larrea Mota Velasco",61,13.9,2015,"mining"
"David & Simon Reuben",72,13.7,2015,"investments, real estate"
"Dhanin Chearavanont",75,13.6,2015,"food"
"Vagit Alekperov",63,13.6,2014,"Lukoil"
"John Fredriksen",69,13.6,2014,"shipping"
"Lui Che Woo",85,13.5,2015,"casinos"
"John Paulson",58,13.5,2014,"hedge funds"
"Rupert Murdoch & family",83,13.5,2014,"media"
"Iris Fontbona",72,13.5,2015,"mining"
"Lakshmi Mittal",64,13.5,2015,"steel"
"Luis Carlos Sarmiento",82,13.4,2015,"banking"
"Ma Huateng",42,13.4,2014,"internet media"
"Abigail Johnson",53,13.4,2015,"money management"
"Charoen Sirivadhanabhakdi",70,13.2,2015,"beverages"
"Lei Jun",45,13.2,2015,"smartphones"
"Marcel Herrmann Telles",65,13,2015,"beer"
"Gerald Cavendish Grosvenor & family",62,13,2014,"real estate"
"Alexey Mordashov",49,13,2015,"steel, investments"
"Johanna Quandt",87,12.8,2014,"BMW"
"Pallonji Mistry",84,12.8,2014,"construction"
"Jack Taylor & family",91,12.8,2014,"Enterprise Rent-A-Car"
"Dilip Shanghvi",58,12.8,2014,"pharmaceuticals"
"Vladimir Potanin",53,12.6,2014,"metals"
"Gerald Cavendish Grosvenor",63,12.6,2015,"real estate"
"Jack Taylor",92,12.5,2015,"Enterprise Rent-A-Car"
"James Simons",75,12.5,2014,"hedge funds"
"Hans Rausing",88,12.5,2015,"packaging"
"Rinat Akhmetov",47,12.5,2014,"steel, coal"
"Alberto Bailleres Gonzalez & family",82,12.4,2014,"mining"
"Gina Rinehart",61,12.3,2015,"mining"
"Charles Butt",77,12.3,2015,"supermarkets"
"Vagit Alekperov",64,12.2,2015,"Lukoil"
"Harold Hamm",69,12.2,2015,"oil & gas"
"Patrick Soon-Shiong",63,12.2,2015,"pharmaceuticals"
"Stefano Pessina",73,12.1,2015,"drugstores"
"Robin Li",45,12.1,2014,"internet search"
"Ernesto Bertarelli & family",48,12,2014,"biotech, investments"
"Stephen Schwarzman",68,12,2015,"investments"
"Hans Rausing",87,12,2014,"packaging"
"Richard Kinder",70,12,2015,"pipelines"
"Elon Musk",43,12,2015,"Tesla Motors"
"Klaus-Michael Kuehne",77,11.9,2015,"shipping"
"Philip Anschutz",75,11.8,2015,"investments"
"Andrew Beal",62,11.7,2015,"banks, real estate"
"Leonid Mikhelson",59,11.7,2015,"gas, chemicals"
"Zong Qinghou",68,11.6,2014,"beverages"
"Charlene de Carvalho-Heineken",60,11.6,2015,"Heineken"
"Vladimir Lisin",58,11.6,2015,"steel, transport"
"Robert Kuok",90,11.5,2014,"diversified"
"David & Simon Reuben",71,11.5,2014,"investments, real estate"
"Andrey Melnichenko",42,11.4,2014,"coal, fertilizers"
"Henry Sy & family",89,11.4,2014,"diversified"
"Dhanin Chearavanont & family",74,11.4,2014,"food"
"Steve Cohen",59,11.4,2015,"hedge funds"
"Carlos Alberto Sicupira",67,11.3,2015,"beer"
"Robert Kuok",91,11.3,2015,"diversified"
"Lee Kun-Hee",73,11.3,2015,"electronics/insurance"
"German Khan",52,11.3,2014,"oil, banking, telecom"
"Ananda Krishnan",75,11.3,2014,"telecom"
"John Paulson",59,11.2,2015,"hedge funds"
"Alejandro Santo Domingo Davila & family",37,11.1,2014,"beer"
"Shiv Nadar",68,11.1,2014,"information technology"
"Miuccia Prada",64,11.1,2014,"Prada"
"Lee Kun-Hee",72,11.1,2014,"Samsung"
"Petr Kellner",49,11,2014,"banking, insurance"
"Steve Cohen",58,11,2014,"hedge funds"
"Andrew Beal",61,10.9,2014,"banks, real estate"
"Thomas Peterffy",70,10.9,2015,"discount brokerage"
"Mikhail Prokhorov",48,10.9,2014,"investments"
"Joseph Lau",63,10.9,2015,"real estate"
"Mohammed Al Amoudi",68,10.8,2015,"oil, diversified"
"Dietrich Mateschitz",70,10.8,2015,"Red Bull"
"Gennady Timchenko",62,10.7,2015,"oil & gas"
"Hansjoerg Wyss",79,10.5,2014,"medical devices"
"John Fredriksen",70,10.5,2015,"shipping"
"Alexey Mordashov",48,10.5,2014,"steel, investments"
"Stefano Pessina",72,10.4,2014,"drugstores"
"David Tepper",57,10.4,2015,"hedge funds"
"Charlene de Carvalho-Heineken",59,10.4,2014,"Heineken"
"Philip Anschutz",74,10.4,2014,"investments"
"Alberto Bailleres Gonzalez",83,10.4,2015,"mining"
"Massimiliana Landini Aleotti",72,10.4,2015,"pharmaceuticals"
"Klaus-Michael Kuehne",76,10.4,2014,"shipping"
"Zong Qinghou",69,10.3,2015,"beverages"
"Li Hejun",46,10.3,2014,"renewable energy"
"Sergei Galitsky",46,10.3,2014,"retail"
"Marcel Herrmann Telles",64,10.2,2014,"beer"
"Kjeld Kirk Kristiansen",66,10.2,2014,"Lego"
"Charles Butt & family",76,10.1,2014,"supermarkets"
"Jack Ma",49,10,2014,"e-commerce"
"David Tepper",56,10,2014,"hedge funds"
"Carrie Perrodo & family",63,10,2014,"Inherited"
"George Kaiser",71,10,2014,"oil & gas, banking"
"Patrick Soon-Shiong",62,10,2014,"pharmaceuticals"
"Stephen Schwarzman",67,10,2014,"private equity"
"Giorgio Armani",79,9.9,2014,"fashion"
"He Xiangjian",72,9.9,2015,"home appliances"
"Mikhail Prokhorov",49,9.9,2015,"investments"
"Wang Wenyin",47,9.9,2015,"mining, copper products"
"Pierre Castel",88,9.9,2015,"wine"
"Kjeld Kirk Kristiansen",67,9.7,2015,"Lego"
"Ananda Krishnan",76,9.7,2015,"telecom"
"Galen Weston",74,9.6,2015,"retail"
"German Khan",53,9.5,2015,"banking, telecom, retail"
"Alain Wertheimer",66,9.5,2015,"Chanel"
"Gerard Wertheimer",64,9.5,2015,"Chanel"
"Tsai Eng-Meng",57,9.5,2014,"food, beverages"
"Richard Kinder",69,9.5,2014,"pipelines"
"Eric Schmidt",58,9.3,2014,"Google"
"Xavier Niel",47,9.3,2015,"internet, telecom"
"Samuel Newhouse, Jr.",86,9.3,2014,"media"
"Edward Johnson, III.",83,9.3,2014,"money management"
"Hiroshi Mikitani",49,9.3,2014,"online retailing"
"Dietrich Mateschitz",69,9.2,2014,"Red Bull"
"Andrey Melnichenko",42,9.1,2015,"coal, fertilizers"
"Leonard Lauder",81,9.1,2015,"Estee Lauder"
"Eric Schmidt",59,9.1,2015,"Google"
"Roberto Irineu Marinho",66,9.1,2014,"media"
"Jose Roberto Marinho",58,9.1,2014,"media"
"Joao Roberto Marinho",60,9.1,2014,"media"
"Hasso Plattner",71,9.1,2015,"software"
"Roman Abramovich",47,9.1,2014,"steel, investments"
"Roman Abramovich",48,9.1,2015,"steel, investments"
"R. Budi Hartono",74,9,2015,"banking, tobacco"
"Charoen Sirivadhanabhakdi",69,9,2014,"beverages"
"Alain Wertheimer",65,9,2014,"Chanel"
"Gerard Wertheimer",63,9,2014,"Chanel"
"Kumar Birla",47,9,2015,"commodities"
"Silvio Berlusconi & family",77,9,2014,"media"
"Samuel Newhouse, Jr.",87,9,2015,"media"
"George Kaiser",72,9,2015,"oil & gas, banking"
"John Menard, Jr.",75,9,2015,"retail"
"Vladimir Yevtushenkov",65,9,2014,"telecom"
"Wei Jianjun",51,8.9,2015,"automobiles"
"Carlos Alberto Sicupira",66,8.9,2014,"beer"
"Tsai Eng-Meng",58,8.9,2015,"food, beverages"
"Ernesto Bertarelli",49,8.8,2015,"biotech, investments"
"Thomas Peterffy",69,8.8,2014,"discount brokerage"
"Elaine Marshall & family",71,8.8,2014,"diversified"
"Dmitry Rybolovlev",47,8.8,2014,"fertilizer"
"Carrie Perrodo",64,8.8,2015,"Inherited"
"Alexei Kuzmichev",51,8.8,2014,"oil, banking, telecom"
"Hasso Plattner",70,8.8,2014,"software"
"Hiroshi Mikitani",50,8.7,2015,"online retailing"
"Michael Hartono",75,8.7,2015,"tobacco, banking"
"Ludwig Merckle",49,8.6,2014,"pharmaceuticals"
"Peter Woo",69,8.6,2015,"real estate"
"Pan Sutong",52,8.6,2015,"real estate"
"Klaus Tschira",74,8.6,2015,"software"
"Michael Kadoorie & family",72,8.5,2014,"diversified"
"Antonia Johnson",70,8.5,2014,"diversified"
"Dmitry Rybolovlev",48,8.5,2015,"fertilizer"
"Donald Newhouse",84,8.5,2014,"media"
"Blair Parry-Okeden",64,8.5,2015,"media"
"Jim Kennedy",67,8.5,2015,"media"
"Eyal Ofer",64,8.5,2015,"real estate, shipping"
"Galen Weston & family",73,8.5,2014,"retail"
"Petr Kellner",50,8.4,2015,"banking, insurance"
"Margarita Louis-Dreyfus",51,8.4,2015,"commodities"
"Joseph Lau",62,8.4,2014,"real estate"
"Elon Musk",42,8.4,2014,"Tesla Motors"
"John Malone",73,8.3,2015,"cable television"
"August von Finck",84,8.3,2014,"investments"
"Donald Newhouse",85,8.3,2015,"media"
