"person","age","networthb","time","industry"
"Stephen Ross",73,5.4,2014,"real estate"
"Hui Wing Mau",64,5.4,2015,"real estate"
"Juan Roig",65,5.4,2015,"supermarkets"
"Travis Kalanick",38,5.3,2015,"car service"
"Garrett Camp",36,5.3,2015,"car service"
"Antonia Johnson",71,5.3,2015,"diversified"
"Americo Amorim",79,5.3,2014,"energy, investments"
"Leonid Fedun",58,5.3,2015,"Lukoil"
"Leon Black",63,5.3,2015,"private equity"
"Leonard Stern",76,5.3,2015,"real estate"
"Anders Holch Povlsen",41,5.3,2014,"retail"
"Savitri Jindal",64,5.3,2015,"steel"
"Stef Wertheimer & family",87,5.3,2014,"tools"
"Wee Cho Yaw",85,5.2,2014,"banking"
"Maria Asuncion Aramburuzabala & family",50,5.2,2014,"beer"
"James Packer",47,5.2,2015,"casinos"
"Ken Griffin",45,5.2,2014,"hedge funds"
"Bidzina Ivanishvili",59,5.2,2015,"investments"
"Bidzina Ivanishvili",58,5.2,2014,"investments"
"David & Frederick Barclay",81,5.2,2015,"media, retail"
"Andrew Forrest",52,5.2,2014,"mining"
"Enrique Razon, Jr.",55,5.2,2015,"ports"
"Henry Kravis",71,5.2,2015,"private equity"
"George Roberts",71,5.2,2015,"private equity"
"Vivien Chen",56,5.2,2015,"real estate"
"Kwee brothers",69,5.2,2014,"real estate"
"Philip & Cristina Green",62,5.2,2014,"retail"
"Micky Jagtiani",63,5.2,2015,"retail"
"Karl-Heinz Kipp",90,5.2,2014,"retail"
"Odd Reitan",63,5.2,2015,"retail, real estate"
"Pyotr Aven",59,5.1,2015,"banking, telecom"
"Lu Guanqiu",70,5.1,2015,"diversified"
"Dan Olsson",68,5.1,2015,"diversified"
"Jacqueline Desmarais & family",85,5.1,2014,"financial services"
"Finn Rausing",59,5.1,2014,"Inherited"
"Finn Rausing",60,5.1,2015,"Inherited"
"Ivan Glasenberg",58,5.1,2015,"mining"
"Arnon Milchan",70,5.1,2015,"movie making"
"Kirsten Rausing",62,5.1,2015,"packaging"
"Kirsten Rausing",61,5.1,2014,"packaging"
"Philip & Cristina Green",62,5.1,2015,"retail"
"Pansy Ho",52,5,2015,"casinos"
"Antonio Del Valle Ruiz & family",75,5,2014,"chemicals"
"David Sun",63,5,2015,"computer hardware"
"John Tu",74,5,2015,"computer hardware"
"Laurence Graff",76,5,2015,"diamond jewelry"
"Anil Ambani",54,5,2014,"diversified"
"Bertil Hult",74,5,2015,"education"
"Frederik Paulsen",63,5,2014,"health care"
"Bruce Kovner",70,5,2015,"hedge funds"
"Gordon Moore",85,5,2014,"Intel"
"Joe Lewis",77,5,2014,"investments"
"Henry Kravis",70,5,2014,"private equity"
"George Roberts",70,5,2014,"private equity"
"Harry Triguboff",81,5,2014,"property"
"Walter Kwok",63,5,2014,"real estate"
"Yang Huiyan",33,5,2015,"real estate"
"Stein Erik Hagen & family",57,5,2014,"retail"
"David Green",72,5,2014,"retail"
"Micky Jagtiani",62,5,2014,"retail"
"Karl-Heinz Kipp",91,5,2015,"retail"
"George Lucas",70,5,2015,"Star Wars"
"Bruce Halle",83,5,2014,"tires"
"Richard Branson",63,5,2014,"Virgin"
"Liang Wengen",58,4.9,2015,"construction equipment"
"Kunio Busujima & family",88,4.9,2014,"gaming"
"Frederik Paulsen",64,4.9,2015,"health care"
"Albert Frere",89,4.9,2015,"investments"
"Albert Frere",88,4.9,2014,"investments"
"Daniel Ziff",43,4.9,2015,"investments"
"Dirk Ziff",50,4.9,2015,"investments"
"Robert Ziff",48,4.9,2015,"investments"
"Robert Rowling",60,4.9,2014,"investments"
"Jeffery Hildebrand",56,4.9,2015,"oil"
"Kwee brothers",70,4.9,2015,"real estate"
"Sam Zell",73,4.9,2015,"real estate, private equity"
"Erivan Haub & family",81,4.9,2014,"retail"
"Heinz-Horst Deichmann & family",87,4.9,2014,"shoes"
"Frank Lowy",84,4.9,2015,"shopping malls"
"Michael Ashley",50,4.9,2015,"sports retailing"
"George Lucas",69,4.9,2014,"Star Wars"
"Savitri Jindal & family",63,4.9,2014,"steel"
"Frits Goldschmeding",80,4.9,2014,"temp agency"
"Cyrus Poonawalla",72,4.9,2014,"vaccines"
"James Dyson",67,4.9,2015,"vacuums"
"Zhou Jianping",54,4.8,2015,"apparel"
"Whitney MacMillan",85,4.8,2014,"Cargill Inc."
"Pauline MacMillan Keinath",80,4.8,2014,"Cargill Inc."
"Gwendolyn Sontheim Meyer",52,4.8,2014,"Cargill Inc."
"Emanuele (Lino) Saputo",78,4.8,2015,"cheese"
"Isak Andic",61,4.8,2015,"clothing retail"
"Adi Godrej",72,4.8,2015,"consumer goods"
"Jamshyd Godrej",66,4.8,2015,"consumer goods"
"Laurence Graff & family",75,4.8,2014,"diamond jewelry"
"Andrew Tan",62,4.8,2015,"diversified"
"Idan Ofer",59,4.8,2015,"drilling, shipping"
"Eduardo Saverin",32,4.8,2015,"Facebook"
"Liselott Persson",64,4.8,2014,"H&M"
"Bruce Kovner",69,4.8,2014,"hedge funds"
"Zhang Zhidong",42,4.8,2014,"internet media"
"Daniel Ziff",42,4.8,2014,"investments"
"Dirk Ziff",49,4.8,2014,"investments"
"Robert Ziff",47,4.8,2014,"investments"
"Michael & Marian Ilitch",85,4.8,2015,"pizza"
"Ted Lerner",89,4.8,2015,"real estate"
"Karl Wlaschek",96,4.8,2014,"retail"
"Juan Roig",64,4.8,2014,"supermarkets"
"Richard Branson",64,4.8,2015,"Virgin"
"Ann Walton Kroenke",65,4.8,2014,"Wal-Mart"
"Liu Yonghao",63,4.7,2015,"agribusiness"
"Whitney MacMillan",86,4.7,2015,"Cargill"
"Shari Arison",56,4.7,2014,"Carnival Cruises"
"Andrew Tan",61,4.7,2014,"diversified"
"Gong Hongjia",50,4.7,2015,"investments"
"Reid Hoffman",47,4.7,2015,"LinkedIn"
"Arnon Milchan",69,4.7,2014,"movie making"
"Phillip Frost",78,4.7,2015,"pharmaceuticals"
"Sri Prakash Lohia",62,4.7,2015,"polyester"
"Daniel Gilbert",53,4.7,2015,"Quicken Loans"
"Tong Jinquan",60,4.7,2015,"real estate"
"John A. Sobrato",75,4.7,2015,"real estate"
"Stein Erik Hagen",58,4.7,2015,"retail"
"Horst Paulmann & family",79,4.7,2014,"retail"
"Frank Lowy",83,4.7,2014,"shopping malls"
"Sergio Mantegazza",86,4.7,2014,"travel"
"Nancy Walton Laurie",63,4.7,2015,"Wal-Mart"
"Sergei Popov",43,4.6,2015,"banking"
"Dona Bertarelli",47,4.6,2015,"biotech"
"Pierre Bellon & family",84,4.6,2014,"food services"
"Heinrich Deichmann",52,4.6,2015,"Footwear"
"Paul Tudor Jones, II.",60,4.6,2015,"hedge funds"
"Lee Shin Cheng",76,4.6,2015,"palm oil, real estate"
"Ludwig Merckle",50,4.6,2015,"pharmaceuticals"
"Randal Kirk",61,4.6,2015,"pharmaceuticals"
"Diane Hendricks",67,4.6,2014,"roofing"
"Mike Adenuga",60,4.6,2014,"telcom, oil"
"Mark Shoen",63,4.6,2015,"U-Haul"
"Shahid Khan",64,4.5,2015,"auto parts"
"Elizabeth Holmes",31,4.5,2015,"blood testing"
"Kirk Kerkorian",96,4.5,2014,"casinos, investments"
"Dieter Schnabel",68,4.5,2014,"chemicals"
"Wolfgang Herz",63,4.5,2014,"coffee"
"Wolfgang Herz",64,4.5,2015,"coffee"
"Michael Herz",71,4.5,2015,"coffee"
"Michael Herz",70,4.5,2014,"coffee"
"David Sun",62,4.5,2014,"computer hardware"
"John Tu",73,4.5,2014,"computer hardware"
"Pierre Bellon",85,4.5,2015,"food services"
"Kunio Busujima",89,4.5,2015,"gaming"
"Trevor Rees-Jones",62,4.5,2014,"oil & gas"
"Lynn Schusterman",75,4.5,2014,"oil & gas, investments"
"John A. Sobrato & family",74,4.5,2014,"real estate"
"Jay Y. Lee",45,4.5,2014,"Samsung"
"Alexander Abramov",56,4.5,2015,"steel, mining"
"Richard Li",48,4.5,2015,"telecoms"
"James Dyson",66,4.5,2014,"vacuums"
"George Ty",82,4.4,2015,"banking"
"Andres Santo Domingo",36,4.4,2015,"beer"
"Alejandro Santo Domingo",38,4.4,2015,"beer"
"Shari Arison",57,4.4,2015,"Carnival Cruises"
"Guenter Herz & Family",73,4.4,2014,"coffee"
"Filaret Galchev",51,4.4,2015,"construction materials"
"Lucio Tan",80,4.4,2015,"diversified"
"Americo Amorim",80,4.4,2015,"energy, investments"
"Murat Ulker",55,4.4,2015,"food manufacturing"
"Barbara Carlson Gage",71,4.4,2014,"hotels, restaurants"
"Marilyn Carlson Nelson",74,4.4,2014,"hotels, restaurants"
"Guenther Fielmann",75,4.4,2015,"optometry"
"Kelcy Warren",58,4.4,2014,"pipelines"
"Abilio dos Santos Diniz",78,4.4,2015,"retail"
"Horst Paulmann",80,4.4,2015,"retail"
"Luo Jye & family",88,4.4,2014,"tires"
"Wang Chuanfu",48,4.3,2014,"batteries, autos"
"Charles Dolan",88,4.3,2015,"cable television"
"Emanuele (Lino) Saputo",77,4.3,2014,"cheese"
"Anthony Bamford",69,4.3,2015,"construction equipment"
"Samvel Karapetyan",48,4.3,2014,"development"
"Chairul Tanjung",52,4.3,2015,"diversified"
"Dan Olsson",67,4.3,2014,"diversified"
"Guo Guangchang",47,4.3,2014,"diversified"
"Lottie Tham",65,4.3,2015,"H&M"
"Paul Tudor Jones, II.",59,4.3,2014,"hedge funds"
"Karen Pritzker",57,4.3,2015,"hotels, investments"
"Liang Wengen",57,4.3,2014,"manufacturing"
"Robert Kraft",73,4.3,2015,"New England Patriots"
"Trevor Rees-Jones",63,4.3,2015,"oil & gas"
"Lee Shin Cheng",75,4.3,2014,"palm oil, real estate"
"Zarakh Iliev",48,4.3,2015,"real estate"
"God Nisanov",42,4.3,2015,"real estate"
"Sam Zell",72,4.3,2014,"real estate, private equity"
"Jeronimo Arango",89,4.3,2015,"retail"
"Tamara Gustavson",53,4.3,2015,"self storage"
"Luo Jye",89,4.3,2015,"tires"
"Zhang Jindong",51,4.2,2015,"appliance retailer"
"Kirk Kerkorian",97,4.2,2015,"casinos, investments"
"Jerry Jones",72,4.2,2015,"Dallas Cowboys"
"Bernard Ecclestone & family",83,4.2,2014,"Formula One"
"Ralph Dommermuth",50,4.2,2014,"internet service provider"
"Subhash Chandra",64,4.2,2015,"media"
"Elizabeth Mohn & family",73,4.2,2014,"media"
"Wang Wenyin",46,4.2,2014,"metals"
"William Ding",42,4.2,2014,"online games"
"Han Chang-Woo",84,4.2,2015,"pachinko parlors"
"Wang Wei",44,4.2,2015,"package delivery service"
"Enrique Razon, Jr.",54,4.2,2014,"ports"
"Friede Springer",71,4.2,2014,"publishing"
"Ted Lerner",88,4.2,2014,"real estate"
"Akira Mori & family",77,4.2,2014,"real estate"
"Leonard Stern",75,4.2,2014,"real estate"
"Lin Rong San",74,4.2,2014,"real estate"
"Lin Rong San",75,4.2,2015,"real estate"
"Jeronimo Arango & family",88,4.2,2014,"retail"
"Karl Wlaschek",97,4.2,2015,"retail"
"Gustaf Douglas",77,4.2,2015,"security"
"Malcolm Glazer & family",85,4.2,2014,"sports teams, real estate"
"Mike Adenuga",61,4.2,2015,"telcom, oil"
"Aloys Wobben",63,4.2,2015,"wind turbines"
"Zhang Shiping",68,4.1,2015,"aluminum products"
"Shahid Khan",63,4.1,2014,"auto parts"
"Martha Ingram",79,4.1,2015,"book distribution, transportation"
"Benu Gopal Bangur",83,4.1,2015,"cement"
"Barry Lam",64,4.1,2014,"computers"
"Barry Lam",65,4.1,2015,"computers"
"David Consunji",93,4.1,2015,"construction"
"Anthony Bamford & family",68,4.1,2014,"construction equipment"
"Prince Sultan bin Mohammed bin Saud Al Kabeer",61,4.1,2015,"dairy farms"
"Eduardo Saverin",31,4.1,2014,"Facebook"
"Francisco Ivens de Sa Dias Branco",77,4.1,2014,"food production"
"David Shaw",63,4.1,2015,"hedge funds"
"Ingvar Kamprad & family",87,4.1,2014,"Ikea"
"Patrizio Bertelli",69,4.1,2015,"luxury goods"
"Beny Steinmetz",57,4.1,2014,"mining, diamonds, real estate"
"Mark Scheinberg",41,4.1,2015,"online gambling"
"Miuccia Prada",65,4.1,2015,"Prada"
"John Morris",66,4.1,2015,"sporting goods retail"
"Donald Trump",68,4.1,2015,"television, real estate"
"Frits Goldschmeding",81,4.1,2015,"temp agency"
"Nancy Walton Laurie",62,4.1,2014,"Wal-Mart"
"Arkady Rotenberg",62,4,2014,"construction, pipes, banking"
"Wolfgang Reimann",62,4,2015,"consumer goods"
"Stefan Reimann-Andersen",51,4,2015,"consumer goods"
"Renate Reimann-Haas",63,4,2015,"consumer goods"
"Matthias Reimann-Andersen",49,4,2015,"consumer goods"
"Samvel Karapetyan",49,4,2015,"development"
"Mohamed Mansour",67,4,2015,"diversified"
"Chairul Tanjung",51,4,2014,"diversified"
"Anil Ambani",55,4,2015,"diversified"
"Sun Guangxin",52,4,2015,"diversified"
"Bertil Hult",73,4,2014,"education"
"Erich Kellerhals",75,4,2014,"electronics retailer"
"Jude Reyes",59,4,2015,"food distribution"
"J. Christopher Reyes",61,4,2015,"food distribution"
"Mitchell Rales",58,4,2015,"manufacturing, investments"
"Gustavo Cisneros & family",68,4,2014,"media"
"David & Frederick Barclay",80,4,2014,"media, retail"
"Reinhold Schmieding",60,4,2015,"medical devices"
"Curt Engelhorn",87,4,2014,"pharmaceuticals"
"Randal Kirk",60,4,2014,"pharmaceuticals"
"Friede Springer",72,4,2015,"publishing"
"Edward Roski, Jr.",76,4,2015,"real estate"
"Jerry Speyer",74,4,2015,"real estate"
"Lars Larsen",65,4,2014,"retail"
"John Morris",65,4,2014,"retail"
"Tom & Judy Love",77,4,2015,"retail & gas stations"
"Gustaf Douglas",76,4,2014,"security"
"Lei Jun",44,4,2014,"smartphones"
"Jan Kulczyk",65,4,2015,"telecom, oil, beer"
"Wang Chuanfu",49,3.9,2015,"batteries, autos"
"Martha Ingram & family",78,3.9,2014,"book distribution, transportation"
"John Gokongwei, Jr.",86,3.9,2014,"diversified"
"Jeffrey Skoll",50,3.9,2015,"Ebay"
"Riley Bechtel",62,3.9,2015,"engineering, construction"
"Riley Bechtel",61,3.9,2014,"engineering, construction"
"Stephen Bechtel, Jr.",88,3.9,2014,"engineering, construction"
"Stephen Bechtel, Jr.",89,3.9,2015,"engineering, construction"
"Ronald Lauder",71,3.9,2015,"Estee Lauder"
"Frederick Smith",70,3.9,2015,"FedEx"
"Bernard Ecclestone",84,3.9,2015,"Formula One"
"Andreas von Bechtolsheim",59,3.9,2015,"Google"
"Daniel Och",53,3.9,2014,"hedge funds"
"Heinz-Georg Baus",80,3.9,2014,"home improvement stores"
"Ralph Dommermuth",51,3.9,2015,"internet service provider"
"George Lindemann",78,3.9,2015,"investments"
"Niels Peter Louis-Hansen",67,3.9,2015,"medical devices"
"Vikram Lal",73,3.9,2015,"motorcycles"
"Shi Yuzhu",52,3.9,2015,"online games, investments"
"Bernard (Barry) Sherman",73,3.9,2015,"pharmaceuticals"
"Bernard (Barry) Sherman",72,3.9,2014,"pharmaceuticals"
"Pankaj Patel",61,3.9,2015,"pharmaceuticals"
"Lars Larsen",66,3.9,2015,"retail"
"Nathan Kirsh",83,3.9,2015,"retail, real estate"
"Donald Trump",67,3.9,2014,"television, real estate"
"Dmitry Kamenshchik",46,3.8,2015,"airport"
"Uday Kotak",55,3.8,2014,"banking"
"Walter Faria",58,3.8,2014,"beer"
"Steve Wynn",72,3.8,2014,"casinos, hotels"
"Samuel Yin",64,3.8,2015,"diversified"
"Jeffrey Skoll",49,3.8,2014,"Ebay"
"Peter Hargreaves",67,3.8,2014,"financial services"
"Andreas von Bechtolsheim",58,3.8,2014,"Google"
"Israel Englander",66,3.8,2015,"hedge funds"
"Daniel Och",54,3.8,2015,"hedge funds"
"Bernard Marcus",85,3.8,2015,"Home Depot"
"Chung Eui-Sun",44,3.8,2015,"logistics"
"Mitchell Rales",57,3.8,2014,"manufacturing"
"Isaac Perlmutter",72,3.8,2015,"Marvel comics"
"Krit Ratanarak",68,3.8,2015,"media, real estate"
"Brijmohan Lall Munjal",91,3.8,2015,"motorcycles"
"Terrence Pegula",64,3.8,2015,"natural gas"
"William Koch",73,3.8,2014,"oil, investments"
"Alain Merieux & family",76,3.8,2014,"pharmaceuticals"
"Odd Reitan",62,3.8,2014,"Reitan Group"
"Alexander Abramov",55,3.8,2014,"steel, mining"
"Mark Shoen",62,3.8,2014,"U-Haul"
"Steven Udvar-Hazy",69,3.7,2015,"aircraft leasing"
"Michael Stoschek & family",66,3.7,2014,"autoparts"
"Charles Dolan & family",87,3.7,2014,"cable television"
"Axel Oberwelland",47,3.7,2014,"candy"
"Gwendolyn Sontheim Meyer",53,3.7,2015,"Cargill"
"Antonio Del Valle Ruiz",76,3.7,2015,"chemicals"
"H. Ross Perot, Sr.",84,3.7,2015,"computer services, real estate"
"Theo Mueller",75,3.7,2015,"dairy"
"Joseph Tsai",50,3.7,2014,"e-commerce"
"Jiang Bin",47,3.7,2014,"electronics"
"Ronald Lauder",70,3.7,2014,"Estee Lauder"
"Murat Ulker",54,3.7,2014,"food manufacturing"
"Francisco Ivens de Sa Dias Branco",80,3.7,2015,"food production"
"Leon G. Cooperman",71,3.7,2015,"hedge funds"
"Karen Pritzker",56,3.7,2014,"hotels, investments"
"Vanich Chaiyawan",83,3.7,2015,"insurance, beverages"
"Isabel dos Santos",40,3.7,2014,"investments"
"Gong Hongjia & family",49,3.7,2014,"investments"
"Steven Rales",63,3.7,2015,"manufacturing"
"Niels Peter Louis-Hansen",66,3.7,2014,"medical devices"
"Ronda Stryker",60,3.7,2015,"medical equipment"
"Lynn Schusterman",76,3.7,2015,"oil & gas, investments"
"Guenther Fielmann & family",74,3.7,2014,"optometry"
"Daniel Gilbert",52,3.7,2014,"Quicken Loans"
"Zhang Xin & family",48,3.7,2014,"real estate"
"Wu Yajun & family",50,3.7,2014,"real estate"
"Francis Choi",68,3.7,2015,"real estate"
"Akira Mori",78,3.7,2015,"real estate"
"Huang Wei",55,3.7,2015,"real estate"
"Fredrik Lundberg",63,3.7,2015,"real estate, investments"
"Zhang Jindong",50,3.7,2014,"retail"
"Nathan Kirsh",82,3.7,2014,"retail, real estate"
"John Sall",65,3.7,2014,"software"
"John Sall",66,3.7,2015,"software"
"James Jannard",65,3.7,2015,"sunglasses"
"Igor Kesaev",47,3.7,2014,"tobacco distribution, retail"
"Aloys Wobben",62,3.7,2014,"wind turbines"
"Steven Udvar-Hazy",68,3.6,2014,"aircraft leasing"
"Qiu Guanghe",63,3.6,2015,"apparel retail"
"Maria-Elisabeth Schaeffler",72,3.6,2014,"ball bearings"
"Antti Herlin",58,3.6,2015,"elevators, escalators"
"Jude Reyes",58,3.6,2014,"food distribution"
"J. Christopher Reyes",60,3.6,2014,"food distribution"
"Michael Platt",46,3.6,2014,"hedge fund"
"David Shaw",62,3.6,2014,"hedge funds"
"Reid Hoffman",46,3.6,2014,"LinkedIn"
"Anthony Pratt",54,3.6,2015,"manufacturing"
"Steven Rales",62,3.6,2014,"manufacturing"
"Elizabeth Mohn",74,3.6,2015,"media"
"Gustavo Cisneros",69,3.6,2015,"media"
"Zhang Shiping & family",67,3.6,2014,"metals"
"Steven Spielberg",68,3.6,2015,"movies"
"Jim Davis",71,3.6,2015,"New Balance"
"Sheldon Solow",86,3.6,2015,"real estate"
"Sheldon Solow",85,3.6,2014,"real estate"
"Zarakh Iliev",47,3.6,2014,"real estate"
"Yitzhak Tshuva",66,3.6,2015,"real estate"
"God Nisanov",41,3.6,2014,"real estate"
"Igor Olenicoff",72,3.6,2015,"real estate"
"Jerry Speyer",73,3.6,2014,"real estate"
"Tom & Judy Love",76,3.6,2014,"retail & gas stations"
"Diane Hendricks",68,3.6,2015,"roofing"
"John Gandel",80,3.6,2015,"shopping malls"
"Jeremy Jacobs, Sr.",75,3.6,2015,"sports concessions"
"Jan Kulczyk",64,3.6,2014,"telecom, oil, beer"
"Archie Aldis Emmerson",85,3.6,2015,"timberland, lumber mills"
"Walter Scott, Jr.",83,3.6,2015,"utilities, telecom"
"Lorenzo Mendoza & family",48,3.5,2014,"beverages"
"Rahel Blocher",39,3.5,2015,"chemicals"
"H. Ross Perot, Sr.",83,3.5,2014,"computer services, real estate"
"Chey Tae-Won",54,3.5,2015,"computer services/telecoms"
"Adi Godrej & family",71,3.5,2014,"consumer goods"
"Jamshyd Godrej & family",65,3.5,2014,"consumer goods"
"Prince Sultan bin Mohammed bin Saud Al Kabeer",60,3.5,2014,"dairy farms"
"Keiichiro Takahara",83,3.5,2014,"diapers"
"Lu Guanqiu",69,3.5,2014,"diversified"
"Pan Zhengmin",45,3.5,2015,"electronics"
"Andrei Guriev",54,3.5,2015,"fertilizers"
"Zhang Changhong",57,3.5,2015,"finance information service"
"Martin Viessmann",61,3.5,2015,"heating equipment"
"Michael Platt",46,3.5,2015,"hedge fund"
"Leon G. Cooperman",70,3.5,2014,"hedge funds"
"Bernard Marcus",84,3.5,2014,"Home Depot"
"Ingvar Kamprad",88,3.5,2015,"Ikea"
"Mohammed Al Issa",90,3.5,2015,"investments"
"Yvonne Bauer & family",36,3.5,2014,"media"
"Beny Steinmetz",58,3.5,2015,"mining, diamonds, real estate"
"Iskander Makhmudov",51,3.5,2015,"mining, metals, machinery"
"George Bishop",77,3.5,2014,"oil & gas"
"Andreas Struengmann",64,3.5,2014,"pharmaceuticals"
"Alain Merieux",77,3.5,2015,"pharmaceuticals"
"Thomas Struengmann",64,3.5,2014,"pharmaceuticals"
"Michael & Marian Ilitch & family",84,3.5,2014,"pizza"
"Sri Prakash Lohia",61,3.5,2014,"polyester"
"Masatoshi Ito",89,3.5,2014,"retail"
"Edward DeBartolo, Jr.",68,3.5,2015,"shopping centers"
"Viktor Rashnikov",66,3.5,2015,"steel"
"Zygmunt Solorz-Zak",57,3.5,2014,"TV broadcasting"
"Haim Saban",70,3.5,2015,"TV network, investments"
"Evan Williams",41,3.5,2014,"Twitter"
"Walter Faria",59,3.4,2015,"beer"
"Marc Benioff",50,3.4,2015,"business software"
"Steve Wynn",73,3.4,2015,"casinos, hotels"
"Magdalena Martullo-Blocher",46,3.4,2015,"chemicals"
"Daniela Herz",60,3.4,2014,"coffee"
"Rafael Del Pino y Calvo-Sotelo",55,3.4,2014,"construction"
"Sun Guangxin",51,3.4,2014,"diversified"
"Erich Kellerhals",76,3.4,2015,"electronics retailer"
"Andrei Guriev",53,3.4,2014,"fertilizers"
"Han Chang-Woo & family",83,3.4,2014,"gaming"
"Julian Robertson, Jr.",83,3.4,2015,"hedge funds"
"Heinz-Georg Baus",81,3.4,2015,"home improvement stores"
"Jay Robert (J.B.) Pritzker",50,3.4,2015,"hotels, investments"
"Anthony Pritzker",54,3.4,2015,"hotels, investments"
"Chung Eui-Sun",43,3.4,2014,"Hyundai"
"Suleiman Kerimov",48,3.4,2015,"investments"
"Ronda Stryker",59,3.4,2014,"medical equipment"
"Steven Spielberg",67,3.4,2014,"movies"
"Jim Davis & family",70,3.4,2014,"New Balance"
"Clayton Mathile",74,3.4,2015,"pet food"
"Wolfgang Marguerre",73,3.4,2014,"pharmaceuticals"
"Zhang Xin",49,3.4,2015,"real estate"
"Wu Yajun",51,3.4,2015,"real estate"
"Edward Roski, Jr.",75,3.4,2014,"real estate"
"Lin Yu-lin",78,3.4,2014,"real estate"
"Mangal Prabhat Lodha",59,3.4,2015,"real estate"
"Kushal Pal Singh",83,3.4,2015,"real estate"
"Fredrik Lundberg",62,3.4,2014,"real estate, investments"
"Masatoshi Ito",90,3.4,2015,"retail"
"Tamara Gustavson & family",52,3.4,2014,"self storage"
"Chee Chen Tung",73,3.4,2015,"shipping"
"John Gandel",79,3.4,2014,"shopping malls"
"Haim Saban",69,3.4,2014,"television"
"John Doerr",62,3.4,2014,"venture capital"
"John Doerr",63,3.4,2015,"venture capital"
"Brian Acton",43,3.4,2015,"WhatsApp"
"David Filo",48,3.4,2015,"Yahoo"
"Jiang Bin",48,3.3,2015,"acoustic components"
"Harry Stine",73,3.3,2015,"agriculture"
"Aloysio de Andrade Faria",93,3.3,2014,"banking"
"Juan Carlos Escotet",55,3.3,2015,"banking"
"Marc Benioff",49,3.3,2014,"business software"
"Axel Oberwelland",48,3.3,2015,"candy"
"Austen Cargill, II.",64,3.3,2015,"Cargill"
"James Cargill, II.",65,3.3,2015,"Cargill"
"Marianne Liebmann",61,3.3,2015,"Cargill"
"David Consunji",92,3.3,2014,"construction"
"Sarik Tara",83,3.3,2014,"construction"
"Wolfgang Reimann",61,3.3,2014,"consumer goods"
"Stefan Reimann-Andersen",50,3.3,2014,"consumer goods"
"Renate Reimann-Haas",62,3.3,2014,"consumer goods"
"Matthias Reimann-Andersen",48,3.3,2014,"consumer goods"
"Leandro Rizzuto",76,3.3,2015,"consumer products"
"Renzo Rosso",58,3.3,2014,"Diesel Jeans"
"Samuel Yin",63,3.3,2014,"diversified"
"Fu Liquan & family",46,3.3,2014,"electronics"
"Antti Herlin",57,3.3,2014,"elevators, escalators"
"Otto Happel",66,3.3,2014,"engineering"
"Teddy Sagi",43,3.3,2015,"gambling software"
"Doris Fisher",82,3.3,2014,"Gap"
"Israel Englander",65,3.3,2014,"hedge funds"
"Isabel dos Santos",41,3.3,2015,"investments"
"Peter Kellogg",72,3.3,2015,"investments"
"Stephan Schmidheiny",66,3.3,2014,"investments"
"Stephan Schmidheiny",67,3.3,2015,"investments"
"Michael Pieper",69,3.3,2015,"kitchen appliances"
"Shigenobu Nagamori",70,3.3,2015,"motors"
"Terrence Pegula",63,3.3,2014,"natural gas"
"Clayton Riddell",76,3.3,2014,"oil & gas"
"Mikhail Gutseriev",56,3.3,2014,"oil, real estate"
"Andreas Struengmann",65,3.3,2015,"pharmaceuticals"
"Phillip Frost",77,3.3,2014,"pharmaceuticals"
"Thomas Struengmann",65,3.3,2015,"pharmaceuticals"
"Daryl Katz",52,3.3,2014,"pharmacies"
"Daryl Katz",53,3.3,2015,"pharmacies"
"Francis Choi",66,3.3,2014,"real estate"
"Masahiro Miki",59,3.3,2015,"retail"
"Li Zhongchu",51,3.3,2015,"software"
"Pang Kang",59,3.3,2015,"soy sauce maker"
"Jean Pierre Cayard",71,3.3,2014,"Spirits"
"Najib Mikati",59,3.3,2015,"telecom"
"Taha Mikati",70,3.3,2015,"telecom"
"Dan Friedkin",50,3.3,2015,"Toyota dealerships"
"Liu Yonghao & family",62,3.2,2014,"agribusiness"
"Lu Xiangyang",51,3.2,2014,"automobiles"
"Spiro Latsis & family",67,3.2,2014,"banking, shipping"
"Mary Alice Dorrance Malone",65,3.2,2015,"Campbell Soup"
"James Cargill, II.",64,3.2,2014,"Cargill Inc."
"Austen Cargill, II.",63,3.2,2014,"Cargill Inc."
"Marianne Liebmann",60,3.2,2014,"Cargill, Inc."
"Dan Cathy",62,3.2,2015,"Chick-Fil-A"
"Bubba Cathy",60,3.2,2015,"Chick-Fil-A"
"Zhu Xingliang",55,3.2,2015,"construction"
"Renzo Rosso",59,3.2,2015,"Diesel Jeans"
"Joan Tisch",89,3.2,2015,"diversified"
"Dagmar Dolby",73,3.2,2015,"Dolby Laboratories"
"Jason Chang",70,3.2,2015,"electronics"
"Yuri Milner",53,3.2,2015,"Facebook"
"Frederick Smith",69,3.2,2014,"FedEx"
"Issad Rebrab",70,3.2,2014,"food"
"Robert Rich, Jr.",74,3.2,2015,"frozen foods"
"Doris Fisher",83,3.2,2015,"Gap"
"Julian Robertson, Jr.",82,3.2,2014,"hedge funds"
"Thomas Pritzker",64,3.2,2015,"hotels, investments"
"Kerr Neilson",65,3.2,2015,"investment"
"George Lindemann & family",77,3.2,2014,"investments"
"Jia Yueting",42,3.2,2015,"online video"
"Desh Bandhu Gupta",76,3.2,2014,"pharmaceuticals"
